file path,line count,code lines,complexity
/Users/madole/Code/Propeller/visualiser/app/api/dotsOnMapsApi.js,114,95,4
/Users/madole/Code/Propeller/visualiser/app/api/licenseManagerAPI.js,9,8,0
/Users/madole/Code/Propeller/visualiser/app/api/megatronApi.js,13,9,2
/Users/madole/Code/Propeller/visualiser/app/api/propellerApi.js,155,131,2
/Users/madole/Code/Propeller/visualiser/app/api/utils.js,30,28,2
/Users/madole/Code/Propeller/visualiser/app/api/visualiserApi/annotations.js,143,134,2
/Users/madole/Code/Propeller/visualiser/app/api/visualiserApi/apolloClient.js,55,50,2
/Users/madole/Code/Propeller/visualiser/app/api/visualiserApi/dataObjectUserSettings.js,45,40,3
/Users/madole/Code/Propeller/visualiser/app/api/visualiserApi/designFolders.js,132,124,0
/Users/madole/Code/Propeller/visualiser/app/api/visualiserApi/getAuthToken.js,19,15,1
/Users/madole/Code/Propeller/visualiser/app/api/visualiserApi/initialDataVisApi.js,80,71,7
/Users/madole/Code/Propeller/visualiser/app/api/visualiserApi/mapSettings.js,26,25,1
/Users/madole/Code/Propeller/visualiser/app/api/visualiserApi/materialProperties.js,17,16,1
/Users/madole/Code/Propeller/visualiser/app/api/visualiserApi/measurementFolders.js,96,81,5
/Users/madole/Code/Propeller/visualiser/app/api/visualiserApi/measurementTemplates.js,72,63,4
/Users/madole/Code/Propeller/visualiser/app/api/visualiserApi/shares.js,40,38,2
/Users/madole/Code/Propeller/visualiser/app/api/visualiserApi/terrainEdits.js,131,122,1
/Users/madole/Code/Propeller/visualiser/app/api/visualiserApi/userSettings.js,49,45,2
/Users/madole/Code/Propeller/visualiser/app/components/Accordion.jsx,65,58,1
/Users/madole/Code/Propeller/visualiser/app/components/BulkActionBar.jsx,52,49,2
/Users/madole/Code/Propeller/visualiser/app/components/CesiumCustomBaseVisualise.jsx,73,59,5
/Users/madole/Code/Propeller/visualiser/app/components/CesiumEntityTooltip.jsx,121,98,10
/Users/madole/Code/Propeller/visualiser/app/components/CesiumGlobeTracker.jsx,77,61,8
/Users/madole/Code/Propeller/visualiser/app/components/CesiumHoverComponent.jsx,99,73,12
/Users/madole/Code/Propeller/visualiser/app/components/CesiumOrtho.jsx,65,51,4
/Users/madole/Code/Propeller/visualiser/app/components/CesiumSelectionHandler.jsx,56,47,7
/Users/madole/Code/Propeller/visualiser/app/components/CesiumShapeAuthor.jsx,615,522,51
/Users/madole/Code/Propeller/visualiser/app/components/CesiumShapeBoxSelect.jsx,90,76,5
/Users/madole/Code/Propeller/visualiser/app/components/CesiumShapeEditor.jsx,850,752,98
/Users/madole/Code/Propeller/visualiser/app/components/Compass.jsx,454,367,15
/Users/madole/Code/Propeller/visualiser/app/components/ConsistentModalPortal.jsx,8,6,0
/Users/madole/Code/Propeller/visualiser/app/components/ContextualAppear.jsx,264,221,37
/Users/madole/Code/Propeller/visualiser/app/components/ContextualAppearOverlay.jsx,48,40,4
/Users/madole/Code/Propeller/visualiser/app/components/ControlsPaneVisibilityToggle.jsx,100,90,3
/Users/madole/Code/Propeller/visualiser/app/components/DesignElevationOffsetPrefix.jsx,33,26,4
/Users/madole/Code/Propeller/visualiser/app/components/Dialog.jsx,48,43,0
/Users/madole/Code/Propeller/visualiser/app/components/EditShapePanel.jsx,414,380,29
/Users/madole/Code/Propeller/visualiser/app/components/EditableLabel.jsx,280,241,22
/Users/madole/Code/Propeller/visualiser/app/components/ErrorBoundary/AnnotationError.jsx,58,52,1
/Users/madole/Code/Propeller/visualiser/app/components/ErrorBoundary/index.jsx,57,48,2
/Users/madole/Code/Propeller/visualiser/app/components/FullScreenButton.jsx,140,116,3
/Users/madole/Code/Propeller/visualiser/app/components/GeolocatedDots.jsx,47,37,1
/Users/madole/Code/Propeller/visualiser/app/components/ImageFadeIn.jsx,26,22,1
/Users/madole/Code/Propeller/visualiser/app/components/InputWithSearchAndFilter.jsx,434,376,50
/Users/madole/Code/Propeller/visualiser/app/components/Layers/ColorSlider.jsx,209,179,18
/Users/madole/Code/Propeller/visualiser/app/components/Layers/ColorStops.jsx,158,140,7
/Users/madole/Code/Propeller/visualiser/app/components/Layers/Heatmap.jsx,285,245,3
/Users/madole/Code/Propeller/visualiser/app/components/Layers/LayerItem.jsx,346,307,21
/Users/madole/Code/Propeller/visualiser/app/components/Layers/LayersList.jsx,8,7,0
/Users/madole/Code/Propeller/visualiser/app/components/Layers/OffsetParentRect.jsx,28,24,3
/Users/madole/Code/Propeller/visualiser/app/components/Layers/SmoothColorStops.jsx,135,121,7
/Users/madole/Code/Propeller/visualiser/app/components/Layers/ToggleButton.jsx,49,42,0
/Users/madole/Code/Propeller/visualiser/app/components/ListItem.jsx,22,20,1
/Users/madole/Code/Propeller/visualiser/app/components/ListItemComponents.jsx,77,71,2
/Users/madole/Code/Propeller/visualiser/app/components/ListSortButton/index.jsx,23,20,0
/Users/madole/Code/Propeller/visualiser/app/components/ListSortButton/styled.js,22,20,0
/Users/madole/Code/Propeller/visualiser/app/components/LockToGeolocation.jsx,64,54,3
/Users/madole/Code/Propeller/visualiser/app/components/MachineImage.jsx,51,43,2
/Users/madole/Code/Propeller/visualiser/app/components/MachineItemContainer.jsx,104,89,4
/Users/madole/Code/Propeller/visualiser/app/components/Markup.jsx,19,14,0
/Users/madole/Code/Propeller/visualiser/app/components/MeasurementInfoTooltip.jsx,112,98,1
/Users/madole/Code/Propeller/visualiser/app/components/MeasurementItemButton.jsx,80,68,5
/Users/madole/Code/Propeller/visualiser/app/components/Modal/hooks.js,42,35,5
/Users/madole/Code/Propeller/visualiser/app/components/Modal/index.jsx,26,22,0
/Users/madole/Code/Propeller/visualiser/app/components/Modal/styled.js,48,44,0
/Users/madole/Code/Propeller/visualiser/app/components/ModalConsistent.jsx,150,138,4
/Users/madole/Code/Propeller/visualiser/app/components/ModalError/index.jsx,63,54,4
/Users/madole/Code/Propeller/visualiser/app/components/ModalError/translate.js,5,4,0
/Users/madole/Code/Propeller/visualiser/app/components/ModalErrorContent/index.jsx,26,23,2
/Users/madole/Code/Propeller/visualiser/app/components/ModalErrorContent/styled.js,29,26,0
/Users/madole/Code/Propeller/visualiser/app/components/ModalFooter/index.jsx,52,49,4
/Users/madole/Code/Propeller/visualiser/app/components/ModalFooter/styled.js,52,48,4
/Users/madole/Code/Propeller/visualiser/app/components/ModalHeader/index.jsx,24,21,1
/Users/madole/Code/Propeller/visualiser/app/components/ModalHeader/styled.js,46,42,0
/Users/madole/Code/Propeller/visualiser/app/components/ModalNotification/index.jsx,17,14,0
/Users/madole/Code/Propeller/visualiser/app/components/ModalNotification/styled.js,8,7,0
/Users/madole/Code/Propeller/visualiser/app/components/ModalPickList/helpers.jsx,26,24,0
/Users/madole/Code/Propeller/visualiser/app/components/ModalPickList/index.jsx,56,47,1
/Users/madole/Code/Propeller/visualiser/app/components/ModalPickList/styled.js,78,72,1
/Users/madole/Code/Propeller/visualiser/app/components/ModalPropellerAR.jsx,89,80,0
/Users/madole/Code/Propeller/visualiser/app/components/ModalSearchDataSets/helpers.jsx,69,58,10
/Users/madole/Code/Propeller/visualiser/app/components/ModalSearchDataSets/index.jsx,49,44,0
/Users/madole/Code/Propeller/visualiser/app/components/ModalSearchDataSets/translate.js,11,8,0
/Users/madole/Code/Propeller/visualiser/app/components/ModalSearchList/helpers.js,12,10,2
/Users/madole/Code/Propeller/visualiser/app/components/ModalSearchList/index.jsx,44,39,0
/Users/madole/Code/Propeller/visualiser/app/components/ModalSearchList/styled.js,39,36,0
/Users/madole/Code/Propeller/visualiser/app/components/MultilineEllipsis.jsx,39,34,0
/Users/madole/Code/Propeller/visualiser/app/components/OverlayMenu.jsx,127,113,7
/Users/madole/Code/Propeller/visualiser/app/components/PaneHeader.jsx,71,65,4
/Users/madole/Code/Propeller/visualiser/app/components/PaneInfo.jsx,41,33,1
/Users/madole/Code/Propeller/visualiser/app/components/PaneTab.jsx,64,57,4
/Users/madole/Code/Propeller/visualiser/app/components/PaneToolBar.jsx,25,21,0
/Users/madole/Code/Propeller/visualiser/app/components/PaneToolGroup.jsx,31,25,0
/Users/madole/Code/Propeller/visualiser/app/components/PerformanceDisplay.jsx,99,82,8
/Users/madole/Code/Propeller/visualiser/app/components/PhotoGesture.jsx,135,111,10
/Users/madole/Code/Propeller/visualiser/app/components/PhotoPaneMenu.jsx,78,72,0
/Users/madole/Code/Propeller/visualiser/app/components/PhotoPaneTools.jsx,112,106,0
/Users/madole/Code/Propeller/visualiser/app/components/PhotoPointCloudSparse.jsx,37,31,0
/Users/madole/Code/Propeller/visualiser/app/components/PhotoTransition.jsx,173,135,15
/Users/madole/Code/Propeller/visualiser/app/components/PhotoZoom.jsx,165,138,15
/Users/madole/Code/Propeller/visualiser/app/components/PoweredByPropeller.jsx,54,49,0
/Users/madole/Code/Propeller/visualiser/app/components/QRCode.jsx,13,10,0
/Users/madole/Code/Propeller/visualiser/app/components/SearchInput.jsx,129,111,6
/Users/madole/Code/Propeller/visualiser/app/components/SearchableMenu/MenuContainer.jsx,64,57,0
/Users/madole/Code/Propeller/visualiser/app/components/SearchableMenu/MenuItem.jsx,17,14,0
/Users/madole/Code/Propeller/visualiser/app/components/SearchableMenu/MenuItemGroup.jsx,124,106,4
/Users/madole/Code/Propeller/visualiser/app/components/SearchableMenu/MenuItemList.jsx,71,62,1
/Users/madole/Code/Propeller/visualiser/app/components/SearchableMenu/SearchableMenu.jsx,369,320,24
/Users/madole/Code/Propeller/visualiser/app/components/SearchableMenu/index.js,2,2,0
/Users/madole/Code/Propeller/visualiser/app/components/ShapeVertClickZone.jsx,67,57,2
/Users/madole/Code/Propeller/visualiser/app/components/ShapeVerts.jsx,43,36,2
/Users/madole/Code/Propeller/visualiser/app/components/SidebarPane.jsx,48,40,2
/Users/madole/Code/Propeller/visualiser/app/components/SitePermissionsCheck.jsx,57,49,5
/Users/madole/Code/Propeller/visualiser/app/components/StatusButton.jsx,54,47,3
/Users/madole/Code/Propeller/visualiser/app/components/SurfaceName.jsx,16,12,2
/Users/madole/Code/Propeller/visualiser/app/components/Thumbnail.jsx,113,100,5
/Users/madole/Code/Propeller/visualiser/app/components/ThumbnailGallery.jsx,69,60,0
/Users/madole/Code/Propeller/visualiser/app/components/Title.jsx,12,10,0
/Users/madole/Code/Propeller/visualiser/app/components/ToastErrorList.jsx,36,30,0
/Users/madole/Code/Propeller/visualiser/app/components/ToolButton.jsx,85,76,2
/Users/madole/Code/Propeller/visualiser/app/components/Treeview.jsx,161,149,7
/Users/madole/Code/Propeller/visualiser/app/components/VertexHandle.jsx,55,48,2
/Users/madole/Code/Propeller/visualiser/app/components/VolumeTypeTooltip/VolumeTypeTooltip.jsx,113,106,0
/Users/madole/Code/Propeller/visualiser/app/components/VolumeTypeTooltip/index.jsx,148,143,0
/Users/madole/Code/Propeller/visualiser/app/components/WarningTooltip.jsx,40,36,0
/Users/madole/Code/Propeller/visualiser/app/components/cesium/BaseCesiumPointCollectionRenderer.js,74,60,3
/Users/madole/Code/Propeller/visualiser/app/components/cesium/CesiumBoxSelect.js,80,65,1
/Users/madole/Code/Propeller/visualiser/app/components/cesium/CesiumLabelRenderer.js,99,84,3
/Users/madole/Code/Propeller/visualiser/app/components/cesium/CesiumPointRenderer.js,75,62,3
/Users/madole/Code/Propeller/visualiser/app/components/cesium/CesiumPolygonRenderer.js,58,50,2
/Users/madole/Code/Propeller/visualiser/app/components/cesium/CesiumPolylineRenderer.js,43,38,2
/Users/madole/Code/Propeller/visualiser/app/components/cesium/CesiumVertexCollectionRenderer.js,139,117,6
/Users/madole/Code/Propeller/visualiser/app/components/cesium/OffsetEllipsoidTerrainProvider.js,95,80,1
/Users/madole/Code/Propeller/visualiser/app/components/cesiumAnimations/AnimationClockSampledProperty.js,19,16,2
/Users/madole/Code/Propeller/visualiser/app/components/cesiumAnimations/BasePropertyAnimation.js,49,39,1
/Users/madole/Code/Propeller/visualiser/app/components/cesiumAnimations/TogglePropertyAnimation.js,49,41,3
/Users/madole/Code/Propeller/visualiser/app/components/cesiumAnimations/animationClock.js,5,3,0
/Users/madole/Code/Propeller/visualiser/app/components/highOrder/ClickOutside.jsx,70,59,5
/Users/madole/Code/Propeller/visualiser/app/components/highOrder/attachTestId.jsx,36,32,1
/Users/madole/Code/Propeller/visualiser/app/components/highOrder/cesiumComponent.jsx,62,49,4
/Users/madole/Code/Propeller/visualiser/app/components/highOrder/cesiumImageryBlend.jsx,93,78,10
/Users/madole/Code/Propeller/visualiser/app/components/highOrder/enhanceWithPaneDimensions.jsx,26,22,0
/Users/madole/Code/Propeller/visualiser/app/components/highOrder/filterStyled.jsx,7,6,0
/Users/madole/Code/Propeller/visualiser/app/components/highOrder/hoverableIcon.jsx,96,84,1
/Users/madole/Code/Propeller/visualiser/app/components/highOrder/measurementRenderer.jsx,58,47,2
/Users/madole/Code/Propeller/visualiser/app/components/highOrder/shapeUtils.js,59,47,1
/Users/madole/Code/Propeller/visualiser/app/components/highOrder/toggleableComponent.jsx,21,16,2
/Users/madole/Code/Propeller/visualiser/app/components/highOrder/transformSVG.jsx,63,56,1
/Users/madole/Code/Propeller/visualiser/app/components/highOrder/withTooltipArrow.jsx,149,126,23
/Users/madole/Code/Propeller/visualiser/app/components/iconType.jsx,87,80,17
/Users/madole/Code/Propeller/visualiser/app/components/modals/Modal.jsx,81,64,4
/Users/madole/Code/Propeller/visualiser/app/components/modals/ModalNew.jsx,262,243,15
/Users/madole/Code/Propeller/visualiser/app/components/modals/styles.js,45,42,0
/Users/madole/Code/Propeller/visualiser/app/components/util/ImagePlane.js,200,158,8
/Users/madole/Code/Propeller/visualiser/app/components/util/LoadState.js,7,6,0
/Users/madole/Code/Propeller/visualiser/app/components/util/calcPerimeterSamples.js,36,29,0
/Users/madole/Code/Propeller/visualiser/app/components/util/dataSetExpiry.js,9,7,1
/Users/madole/Code/Propeller/visualiser/app/components/util/imagePlaneGeo.js,25,20,1
